id,lat,lng,seq
M040876,40.847832,-73.939519,360004
M040876,40.847922,-73.939489,360005
M040876,40.847922,-73.939489,370001
M040876,40.848192,-73.939399,370002
M040876,40.848662,-73.939249,370003
M040876,40.848852,-73.939179,370004
M040876,40.848942,-73.939139,370005
M040876,40.849092,-73.939059,370006
M040876,40.849162,-73.939019,370007
M040876,40.849292,-73.938949,370008
M040876,40.849682,-73.938779,370009
M040876,40.849982,-73.938649,370010
M040876,40.850902,-73.938279,370011
M040876,40.851220,-73.938160,370012
M040876,40.851220,-73.938160,380001
M040876,40.852409,-73.937723,380002
M040876,40.852409,-73.937723,390001
M040876,40.853652,-73.937338,390002
M040876,40.853652,-73.937338,400001
M040876,40.855098,-73.936886,400002
M040876,40.855098,-73.936886,410001
M040876,40.855422,-73.936789,410002
M040876,40.855702,-73.936639,410003
M040876,40.857102,-73.935599,410004
M040876,40.857365,-73.935404,410005
M040876,40.857365,-73.935404,420001
M040876,40.858422,-73.934619,420002
M040876,40.858672,-73.934459,420003
M040876,40.859018,-73.934250,420004
M040879,40.859233,-73.934230,10001
M040879,40.859232,-73.934229,10002
M040879,40.859202,-73.934139,10003
M040879,40.858672,-73.934459,10004
M040879,40.858422,-73.934619,10005
M040879,40.857102,-73.935599,10006
M040879,40.856775,-73.935842,10007
M040879,40.856775,-73.935842,20001
M040879,40.855702,-73.936639,20002
M040879,40.855422,-73.936789,20003
M040879,40.855092,-73.936889,20004
M040879,40.854807,-73.936977,20005
M040879,40.854807,-73.936977,30001
M040879,40.853119,-73.937504,30002
M040879,40.853119,-73.937504,40001
M040879,40.851873,-73.937914,40002
M040879,40.851873,-73.937914,50001
M040879,40.850613,-73.938395,50002
M040879,40.850613,-73.938395,60001
M040879,40.849982,-73.938649,60002
M040879,40.849682,-73.938779,60003
M040879,40.849292,-73.938949,60004
M040879,40.849162,-73.939019,60005
M040879,40.849092,-73.939059,60006
M040879,40.848942,-73.939139,60007
M040879,40.848852,-73.939179,60008
M040879,40.848662,-73.939249,60009
M040879,40.848192,-73.939399,60010
M040879,40.847832,-73.939519,60011
M040879,40.847562,-73.939630,60012
M040879,40.847562,-73.939630,70001
M040879,40.845833,-73.940320,70002
M040879,40.845833,-73.940320,80001
M040879,40.844417,-73.940899,80002
M040879,40.844417,-73.940899,90001
M040879,40.844392,-73.940909,90002
M040879,40.844042,-73.941139,90003
M040879,40.843432,-73.941639,90004
M040879,40.843169,-73.941829,90005
M040879,40.843169,-73.941829,100001
M040879,40.843072,-73.941899,100002
M040879,40.842802,-73.942009,100003
M040879,40.842622,-73.942079,100004
M040879,40.842142,-73.942279,100005
M040879,40.841881,-73.942380,100006
M040879,40.841881,-73.942380,110001
M040879,40.839887,-73.943182,110002
M040879,40.839887,-73.943182,120001
M040879,40.838706,-73.943645,120002
M040879,40.838706,-73.943645,130001
M040879,40.837523,-73.944118,130002
M040879,40.837523,-73.944118,140001
M040879,40.836082,-73.944669,140002
M040879,40.836082,-73.944669,150001
M040879,40.835912,-73.944669,150002
M040879,40.835752,-73.944609,150003
M040879,40.835612,-73.944509,150004
M040879,40.835502,-73.944389,150005
M040879,40.835422,-73.944249,150006
M040879,40.835332,-73.944039,150007
M040879,40.834702,-73.944519,150008
M040879,40.834210,-73.944876,150009
M040879,40.834210,-73.944876,160001
M040879,40.832475,-73.946135,160002
M040879,40.832475,-73.946135,170001
M040879,40.830626,-73.947475,170002
M040879,40.830626,-73.947475,180001
M040879,40.829362,-73.948411,180002
M040879,40.829362,-73.948411,190001
M040879,40.827476,-73.949793,190002
M040879,40.827476,-73.949793,200001
M040879,40.826657,-73.950395,200002
M040879,40.826657,-73.950395,210001
M040879,40.824277,-73.952114,210002
M040879,40.824277,-73.952114,220001
M040879,40.823038,-73.953038,220002
M040879,40.823038,-73.953038,230001
M040879,40.821804,-73.953937,230002
M040879,40.821804,-73.953937,240001
M040879,40.819940,-73.955323,240002
M040881,40.865495,-73.932079,10001
M040881,40.865462,-73.932119,10002
M040881,40.865322,-73.932229,10003
M040881,40.865182,-73.932319,10004
M040881,40.865042,-73.932389,10005
M040881,40.864712,-73.932509,10006
M040881,40.864522,-73.932589,10007
M040881,40.864362,-73.932609,10008
M040881,40.864252,-73.932609,10009
M040881,40.863809,-73.932445,10010
M040881,40.863809,-73.932445,20001
M040881,40.863792,-73.932439,20002
M040881,40.863652,-73.932419,20003
M040881,40.863532,-73.932429,20004
M040881,40.863302,-73.932499,20005
M040881,40.863192,-73.932609,20006
M040881,40.863042,-73.932709,20007
M040881,40.862932,-73.932749,20008
M040881,40.862822,-73.932769,20009
M040881,40.862782,-73.932769,20010
M040881,40.862652,-73.932749,20011
M040881,40.861942,-73.932509,20012
M040881,40.861712,-73.932449,20013
M040881,40.861412,-73.932419,20014
M040881,40.861092,-73.932429,20015
M040881,40.860792,-73.932469,20016
M040881,40.860512,-73.932539,20017
M040881,40.860382,-73.932589,20018
M040881,40.860122,-73.932729,20019
M040881,40.860012,-73.932809,20020
M040881,40.859912,-73.932909,20021
M040881,40.859732,-73.933139,20022
M040881,40.859612,-73.933399,20023
M040881,40.859422,-73.933909,20024
M040881,40.859472,-73.933979,20025
M040881,40.859492,-73.934069,20026
M040881,40.859492,-73.934169,20027
M040881,40.859442,-73.934269,20028
M040881,40.859382,-73.934309,20029
M040881,40.859302,-73.934289,20030
M040881,40.859233,-73.934230,20031
M040881,40.859233,-73.934230,30001
M040881,40.859232,-73.934229,30002
M040881,40.859202,-73.934139,30003
M040881,40.858672,-73.934459,30004
M040881,40.858422,-73.934619,30005
M040881,40.857102,-73.935599,30006
M040881,40.856775,-73.935842,30007
M040881,40.856775,-73.935842,40001
M040881,40.855702,-73.936639,40002
M040881,40.855422,-73.936789,40003
M040881,40.855092,-73.936889,40004
M040881,40.854807,-73.936977,40005
M040881,40.854807,-73.936977,50001
M040881,40.853119,-73.937504,50002
M040881,40.853119,-73.937504,60001
M040881,40.851873,-73.937914,60002
M040881,40.851873,-73.937914,70001
M040881,40.850613,-73.938395,70002
M040881,40.850613,-73.938395,80001
M040881,40.849982,-73.938649,80002
M040881,40.849682,-73.938779,80003
M040881,40.849292,-73.938949,80004
M040881,40.849162,-73.939019,80005
M040881,40.849092,-73.939059,80006
M040881,40.848942,-73.939139,80007
M040881,40.848852,-73.939179,80008
M040881,40.848662,-73.939249,80009
M040881,40.848192,-73.939399,80010
M040881,40.847832,-73.939519,80011
M040881,40.847562,-73.939630,80012
M040881,40.847562,-73.939630,90001
M040881,40.845833,-73.940320,90002
M040881,40.845833,-73.940320,100001
M040881,40.844417,-73.940899,100002
M040881,40.844417,-73.940899,110001
M040881,40.844392,-73.940909,110002
M040881,40.844042,-73.941139,110003
M040881,40.843432,-73.941639,110004
M040881,40.843169,-73.941829,110005
M040881,40.843169,-73.941829,120001
M040881,40.843072,-73.941899,120002
M040881,40.842802,-73.942009,120003
M040881,40.842622,-73.942079,120004
M040881,40.842142,-73.942279,120005
M040881,40.841881,-73.942380,120006
M040881,40.841881,-73.942380,130001
M040881,40.839887,-73.943182,130002
M040881,40.839887,-73.943182,140001
M040881,40.838706,-73.943645,140002
M040881,40.838706,-73.943645,150001
M040881,40.837523,-73.944118,150002
M040881,40.837523,-73.944118,160001
M040881,40.836082,-73.944669,160002
M040881,40.836082,-73.944669,170001
M040881,40.835912,-73.944669,170002
M040881,40.835752,-73.944609,170003
M040881,40.835612,-73.944509,170004
M040881,40.835502,-73.944389,170005
M040881,40.835422,-73.944249,170006
M040881,40.835332,-73.944039,170007
M040881,40.834702,-73.944519,170008
M040881,40.834210,-73.944876,170009
M040881,40.834210,-73.944876,180001
M040881,40.832475,-73.946135,180002
M040881,40.832475,-73.946135,190001
M040881,40.830626,-73.947475,190002
M040881,40.830626,-73.947475,200001
M040881,40.829362,-73.948411,200002
M040881,40.829362,-73.948411,210001
M040881,40.827476,-73.949793,210002
M040881,40.827476,-73.949793,220001
